center_id,centroid_Boylam,centroid_Enlem,snapped_Boylam,snapped_Enlem,assigned_cells,cluster_total_weight,cluster_mean_weight,source_weight_column,priority_rank
10,5945076.608531785,1777499.057595094,5945050.0,1777450.0,1421,1284.52314527,0.9039571747149895,score_topsis_pi,1
6,5895078.407211851,1736513.3603397906,5895050.0,1736550.0,815,724.4337034800001,0.8888757097914112,score_topsis_pi,2
4,5989148.50533231,1753229.403327929,5989450.0,1753250.0,712,637.06049248,0.8947478826966292,score_topsis_pi,3
9,5943672.6060231365,1713269.8824870584,5943650.0,1713250.0,655,582.4412903699999,0.8892233440763357,score_topsis_pi,4
2,5948305.417946337,1785425.9645966035,5947450.0,1785550.0,479,431.19506484,0.9001984652192067,score_topsis_pi,5
1,5939229.309387495,1717870.6944238015,5939250.0,1717850.0,455,404.44086819000006,0.8888810289890111,score_topsis_pi,6
8,5905169.827812199,1739045.6191784982,5905650.0,1739750.0,373,335.16428624,0.898563770080429,score_topsis_pi,7
5,6055319.618260987,1728060.1232324974,6059950.0,1732850.0,61,54.78493941000001,0.8981137608196722,score_topsis_pi,8
3,5862017.242639386,1725480.631286643,5858150.0,1724550.0,19,17.11498306,0.9007885821052631,score_topsis_pi,9
7,5869950.057564587,1777950.029595717,5869950.0,1777850.0,10,8.91601983,0.8916019829999999,score_topsis_pi,10
