x_block,y_block,n_cells,positive_cells,center_Boylam,center_Enlem,mean_score_probability_mlp,max_score_probability_mlp,mean_score_topsis_pi,max_score_topsis_pi,mean_score_vikor_pi,max_score_vikor_pi,mean_score_topsis_shap,max_score_topsis_shap,mean_score_vikor_shap,max_score_vikor_shap
5991,1756,100,50,5991500.0,1756500.0,0.50727713,1.0,0.7160241,0.9095885,0.73750687,0.9858366,0.71865606,0.7740331,0.7463924,0.98231477
5908,1739,100,44,5908500.0,1739500.0,0.45356944,1.0,0.69710296,0.90629476,0.7119953,0.9831858,0.70173573,0.7645445,0.70307356,0.96621567
6047,1690,47,8,6047264.893617021,1690601.0638297873,0.42181298,0.9869484,0.5168205,0.7019013,0.4794539,0.6969974,0.6478999,0.702889,0.4556157,0.6865431
5902,1738,100,41,5902500.0,1738500.0,0.41780603,1.0,0.68743926,0.90508133,0.69702685,0.9820766,0.7032149,0.7633712,0.6950753,0.9650896
5947,1775,100,41,5947500.0,1775500.0,0.4161798,1.0,0.7030246,0.9076274,0.72144157,0.9841392,0.7042207,0.7687106,0.7216851,0.9679343
5946,1785,100,41,5946500.0,1785500.0,0.41546953,1.0,0.6721368,0.90918666,0.68249804,0.9838448,0.70366716,0.7707833,0.69248444,0.9689769
6045,1692,100,24,6045500.0,1692500.0,0.40869486,0.9999784,0.545347,0.8545635,0.50809103,0.90241176,0.66112846,0.74453753,0.4906592,0.8699582
6046,1690,100,24,6046500.0,1690500.0,0.40821308,0.9967504,0.5459429,0.7291929,0.51239157,0.73438203,0.6547133,0.70556486,0.48743606,0.7055867
5990,1756,100,38,5990500.0,1756500.0,0.39733818,1.0,0.67012995,0.9094832,0.6792614,0.9870672,0.7085915,0.7762011,0.6969702,0.98537713
6046,1691,100,23,6046500.0,1691500.0,0.3947095,0.9989134,0.5385897,0.78935665,0.50203305,0.8125657,0.657544,0.7328396,0.48018157,0.8033378
5949,1776,100,39,5949500.0,1776500.0,0.39250267,1.0,0.67544943,0.90871793,0.6866822,0.98392487,0.7074797,0.7724535,0.69515157,0.97776854
5940,1776,100,39,5940500.0,1776500.0,0.39203647,1.0,0.6849294,0.9068283,0.6975578,0.9826328,0.7046989,0.76614916,0.7033206,0.9658192
5906,1740,100,37,5906500.0,1740500.0,0.38885376,1.0,0.6485912,0.9010397,0.6535576,0.98099136,0.68188375,0.74286777,0.64694434,0.9476421
5940,1775,100,37,5940500.0,1775500.0,0.3861358,1.0,0.6593593,0.90636486,0.66605,0.98332,0.6998281,0.76727,0.6716494,0.97248566
5870,1731,100,37,5870500.0,1731500.0,0.3851084,1.0,0.62347037,0.93134296,0.61570364,0.99983114,0.70469797,0.8393726,0.6333506,0.990455
5991,1760,100,38,5991500.0,1760500.0,0.38151732,1.0,0.65161705,0.8563177,0.65371096,0.9140789,0.69718635,0.758833,0.6667179,0.90970796
5946,1784,100,38,5946500.0,1784500.0,0.38094714,1.0,0.67360663,0.9088616,0.6840302,0.98476946,0.7053132,0.7721191,0.6892348,0.97304636
5940,1779,100,37,5940500.0,1779500.0,0.37020355,1.0,0.6714424,0.9092116,0.68290937,0.98596054,0.6999157,0.7745714,0.6948589,0.9794718
5946,1775,100,35,5946500.0,1775500.0,0.36936718,1.0,0.6619033,0.9089749,0.67072505,0.98428667,0.69868886,0.77220446,0.6783564,0.97592294
5946,1776,100,36,5946500.0,1776500.0,0.36853433,1.0,0.67063695,0.90945727,0.6815666,0.9860264,0.70924115,0.7765641,0.7009534,0.9868967
5987,1753,100,35,5987500.0,1753500.0,0.36780953,1.0,0.653554,0.89241046,0.6563253,0.9529652,0.7007331,0.765993,0.65951645,0.92013896
5858,1719,100,31,5858500.0,1719500.0,0.36706328,0.9999996,0.6060654,0.85312766,0.58982354,0.90578556,0.6825936,0.74681324,0.5921585,0.85845125
5940,1712,100,34,5940500.0,1712500.0,0.36667413,1.0,0.6620701,0.8899164,0.6643273,0.95832026,0.69629455,0.76258916,0.66062945,0.93595207
5941,1776,100,35,5941500.0,1776500.0,0.3620456,1.0,0.65925413,0.90724087,0.66838145,0.98434776,0.6966817,0.76970476,0.6778986,0.9746231
5940,1708,100,35,5940500.0,1708500.0,0.36065963,1.0,0.64085126,0.8903886,0.64223784,0.9572999,0.6907099,0.7584726,0.6432051,0.9228727
5939,1717,100,35,5939500.0,1717500.0,0.35842273,1.0,0.65525514,0.89065856,0.6576999,0.95575666,0.6925503,0.75887424,0.6529988,0.91859525
5991,1759,100,35,5991500.0,1759500.0,0.35704187,0.9999999,0.6472339,0.85288787,0.64705694,0.9119776,0.7011928,0.75917464,0.66482186,0.9132158
5991,1758,100,34,5991500.0,1758500.0,0.35465413,1.0,0.6523098,0.8849603,0.6549771,0.9495957,0.70615405,0.7729302,0.6778022,0.95994455
5943,1723,100,34,5943500.0,1723500.0,0.35290727,1.0,0.6548552,0.88800853,0.6608107,0.956515,0.68684983,0.75616705,0.65660566,0.92604345
5939,1709,100,34,5939500.0,1709500.0,0.35174266,1.0,0.64858145,0.8906608,0.64814603,0.9568591,0.68627256,0.75623304,0.63362384,0.9238868
5995,1754,100,34,5995500.0,1754500.0,0.34953105,1.0,0.6654766,0.88298935,0.67214394,0.94712234,0.70595396,0.7670657,0.6891504,0.9493658
5858,1718,87,22,5858441.954022989,1718523.5632183908,0.3455485,0.99997926,0.5942129,0.8490531,0.57714933,0.89013004,0.6773378,0.74946904,0.5850541,0.89808065
5986,1753,100,34,5986500.0,1753500.0,0.34134948,1.0,0.64184517,0.8941215,0.640277,0.963381,0.69913256,0.77248466,0.6502874,0.955456
5940,1778,100,34,5940500.0,1778500.0,0.3405741,1.0,0.64527303,0.90824884,0.6492876,0.9839781,0.6998175,0.7684782,0.6663296,0.9707053
5943,1780,100,34,5943500.0,1780500.0,0.3400961,1.0,0.6582709,0.9096742,0.66387993,0.9872822,0.70437586,0.7759435,0.68049234,0.98605627
6046,1689,75,16,6046512.666666667,1689588.6666666667,0.33832282,0.9800669,0.5476517,0.7519078,0.5097983,0.7756939,0.64904594,0.7099173,0.47703034,0.74754524
5909,1739,100,30,5909500.0,1739500.0,0.3355596,1.0,0.64478624,0.9051482,0.64289606,0.9830185,0.68813026,0.7568026,0.6403811,0.9690502
5938,1715,100,33,5938500.0,1715500.0,0.3322161,1.0,0.65358543,0.8916992,0.65414786,0.9569682,0.6940305,0.7584077,0.650473,0.9174054
5992,1758,100,30,5992500.0,1758500.0,0.33124983,1.0,0.6415059,0.8828936,0.6449366,0.94811296,0.69817215,0.76755184,0.6670021,0.9466896
5990,1758,100,33,5990500.0,1758500.0,0.33038566,1.0,0.6391031,0.883301,0.63963383,0.9498606,0.69642293,0.77071047,0.65973914,0.9616816
5945,1783,100,33,5945500.0,1783500.0,0.3300435,1.0,0.63297486,0.9098534,0.63617057,0.98647636,0.6983398,0.7736486,0.6537371,0.9790931
5993,1731,100,27,5993500.0,1731500.0,0.3264721,1.0,0.5972295,0.8721813,0.5763281,0.92435867,0.680206,0.78386855,0.5667601,0.89415
5939,1713,100,30,5939500.0,1713500.0,0.32639787,1.0,0.64324045,0.8897162,0.6404716,0.9561767,0.6857705,0.75096005,0.63010114,0.9164928
6047,1692,100,4,6047500.0,1692500.0,0.32498252,0.98674303,0.53712505,0.7411365,0.4989805,0.7629229,0.6567544,0.7203595,0.48099983,0.73680705
5947,1776,100,32,5947500.0,1776500.0,0.32276782,1.0,0.6428809,0.90957314,0.644203,0.98576957,0.7005809,0.7774985,0.65864587,0.98901993
5939,1714,100,32,5939500.0,1714500.0,0.32262966,1.0,0.6203857,0.89047897,0.61475843,0.9564905,0.68074983,0.75677395,0.6092764,0.9255309
6045,1691,100,7,6045500.0,1691500.0,0.32179645,0.9999811,0.56454074,0.8545835,0.5330648,0.9008219,0.65878797,0.73388416,0.5048678,0.86356246
5992,1760,100,31,5992500.0,1760500.0,0.32156822,1.0,0.6324635,0.85795355,0.63120824,0.91540295,0.6983003,0.7652766,0.6477056,0.8976061
5933,1723,100,31,5933500.0,1723500.0,0.3201121,0.99996966,0.60655886,0.77228063,0.58843094,0.792189,0.6827854,0.7325979,0.5965258,0.81091946
5942,1776,100,31,5942500.0,1776500.0,0.31699327,1.0,0.6338196,0.9075931,0.6330525,0.9841754,0.6898526,0.7688285,0.6405171,0.9760392
5891,1739,100,31,5891500.0,1739500.0,0.31633353,1.0,0.6380316,0.88978344,0.63117194,0.9564457,0.68200856,0.75096595,0.6072525,0.89713883
5907,1738,100,29,5907500.0,1738500.0,0.3133607,1.0,0.64751947,0.9070891,0.6486854,0.98255455,0.6903634,0.76410544,0.64606285,0.960349
5939,1718,100,31,5939500.0,1718500.0,0.31325996,1.0,0.64410555,0.89013845,0.64402544,0.95672,0.69137657,0.75518554,0.6400409,0.91956276
5855,1727,100,20,5855500.0,1727500.0,0.31277493,0.99999994,0.6089119,0.8551553,0.5962929,0.91085213,0.6849205,0.7486278,0.5999261,0.858812
5941,1777,100,31,5941500.0,1777500.0,0.31258363,1.0,0.6412883,0.90826595,0.6435601,0.98429435,0.6976874,0.7708462,0.6600596,0.9765165
5904,1740,100,30,5904500.0,1740500.0,0.31171685,1.0,0.6462332,0.90525025,0.6497223,0.9822162,0.6857704,0.76036495,0.65479773,0.9633742
5993,1759,100,28,5993500.0,1759500.0,0.31131193,1.0,0.6298637,0.85573536,0.6274656,0.9136944,0.69536245,0.75803554,0.6492367,0.91369575
5892,1734,100,30,5892500.0,1734500.0,0.3112124,1.0,0.64232856,0.8888916,0.63977516,0.9495633,0.68934053,0.750076,0.6339622,0.89781547
5906,1739,100,29,5906500.0,1739500.0,0.31033945,1.0,0.6501073,0.9046562,0.6520794,0.9818796,0.6799136,0.75501055,0.6383217,0.9523845
5944,1780,100,31,5944500.0,1780500.0,0.31006584,1.0,0.64692193,0.9097159,0.65169734,0.98723054,0.7050853,0.7764535,0.67534345,0.9873332
5903,1737,100,29,5903500.0,1737500.0,0.3100453,1.0,0.6419413,0.88690656,0.64318484,0.9598984,0.68841016,0.76076496,0.64797777,0.9200532
5941,1721,100,29,5941500.0,1721500.0,0.30946833,1.0,0.64017904,0.88806224,0.6351249,0.95712477,0.6857212,0.7573774,0.6303384,0.93253124
5891,1738,100,30,5891500.0,1738500.0,0.3089241,1.0,0.63530463,0.889438,0.63065875,0.9576658,0.68346757,0.75006086,0.61933416,0.8989782
6047,1691,98,0,6047490.816326531,1691508.163265306,0.3076685,0.938383,0.52587163,0.73969346,0.48813373,0.7588124,0.6529683,0.7113919,0.46643043,0.7292017
6045,1689,30,5,6045633.333333333,1689816.6666666667,0.30694327,0.97580814,0.53650826,0.7038381,0.5023081,0.6779049,0.64771837,0.7064179,0.48012787,0.64157647
5946,1714,100,30,5946500.0,1714500.0,0.30653638,1.0,0.63492715,0.89208704,0.63357747,0.9577985,0.6902591,0.7642732,0.6422165,0.9325616
5939,1710,100,30,5939500.0,1710500.0,0.30469123,1.0,0.63454175,0.88866484,0.62993807,0.9563141,0.68348,0.75325274,0.6237937,0.92632955
5949,1775,100,30,5949500.0,1775500.0,0.3027814,1.0,0.6305311,0.90832233,0.629802,0.9841185,0.693309,0.7699,0.64268494,0.97159564
6048,1691,17,0,6048150.0,1691744.1176470588,0.30273148,0.8937886,0.53040737,0.7343384,0.49573866,0.756045,0.65509456,0.707465,0.47898993,0.7341287
5903,1740,100,30,5903500.0,1740500.0,0.30256656,1.0,0.63933253,0.90529996,0.64063996,0.9823672,0.6899491,0.7620479,0.6491494,0.9670119
5994,1731,100,19,5994500.0,1731500.0,0.3024849,1.0,0.599504,0.87568736,0.5796339,0.92427206,0.68179846,0.7888808,0.57226086,0.91337866
5903,1738,100,29,5903500.0,1738500.0,0.30041513,1.0,0.6406342,0.89261836,0.6388812,0.9636973,0.694106,0.76162595,0.6462828,0.92658114
5952,1780,100,28,5952500.0,1780500.0,0.29949948,1.0,0.61398476,0.8812937,0.6052161,0.94503653,0.69156486,0.76530015,0.61510724,0.93298763
5936,1715,100,29,5936500.0,1715500.0,0.2970579,1.0,0.6305135,0.8896707,0.622813,0.9582065,0.6827419,0.75182605,0.61247396,0.8992652
5943,1776,100,29,5943500.0,1776500.0,0.29567984,1.0,0.65438074,0.9079515,0.65976876,0.98528224,0.7009976,0.7713777,0.6729496,0.9811901
6048,1692,66,7,6048345.454545454,1692560.606060606,0.2954044,0.9837103,0.5270653,0.7364856,0.49116758,0.74320567,0.6558931,0.7175778,0.47177532,0.71773064
