Boylam,Enlem,YANGIN_DURUMU,score_probability_mlp,rank_probability_mlp,score_topsis_pi,rank_topsis_pi,score_topsis_shap,rank_topsis_shap,score_topsis_equal,rank_topsis_equal,score_topsis_entropy,rank_topsis_entropy,score_topsis_critic,rank_topsis_critic,score_vikor_pi,rank_vikor_pi,score_vikor_shap,rank_vikor_shap,score_vikor_equal,rank_vikor_equal,score_vikor_entropy,rank_vikor_entropy,score_vikor_critic,rank_vikor_critic
5989950.0,1756150.0,1,0.9999999999990374,74,0.9225351860886706,2,0.7734877540472852,1,0.6488077369812689,54,0.4962874794231729,472,0.6235485580066344,49,1.0,1,0.995777296440813,1,0.9784981246617117,1,0.7317736784885088,355,0.9171325849697094,44
5988650.0,1756350.0,1,0.999999999999948,11,0.8928088662099816,582,0.7524892208659355,23,0.6497476067974175,45,0.5290827074835343,209,0.6272902795727026,37,0.9694088355219495,298,0.9339402022628928,246,0.9764751175788511,2,0.810739671457599,96,0.9380601439168402,30
5988050.0,1755850.0,1,0.9999999999994051,56,0.8930065744938471,576,0.7506666456942157,31,0.6445839431565811,76,0.4952767256071023,484,0.6155142180379203,90,0.9649309903060127,509,0.9392373657637777,176,0.9704774873656279,3,0.7303127962146353,363,0.9103292418665236,49
5988950.0,1756250.0,1,0.9999999999999263,14,0.8926371204043374,591,0.7562913676992361,9,0.6561223937031734,21,0.6249490156787638,13,0.6562350272555404,3,0.9700204469056519,273,0.940850978991672,164,0.9632295233379009,4,0.9391424226008136,3,0.9626846717518,8
5988550.0,1756350.0,1,0.9999999999999478,12,0.8925943334987116,592,0.7535369527541135,19,0.6521946938340089,34,0.5518841753125467,119,0.6337269378316552,24,0.9691476409263512,316,0.9343590020374325,235,0.9611343574637266,5,0.8793341719765203,27,0.9389839836860587,28
5988650.0,1756450.0,1,0.9999999999999487,10,0.8922977754754363,601,0.7484347074393668,41,0.6303478359618394,317,0.5547054570395346,109,0.6184554970415918,72,0.9689836956744606,328,0.9332550829054297,254,0.927977391799244,6,0.887392313855677,20,0.9391685709517358,27
5988050.0,1755950.0,1,0.9999999999994253,55,0.8926832979839588,588,0.748896417080479,36,0.6361344267947787,176,0.47708948875259816,657,0.608214256929602,144,0.9647470878969207,521,0.9386889551818681,181,0.9138746513517133,7,0.7143991460482753,464,0.9016589672948068,56
5988750.0,1756950.0,1,0.9999999999944329,154,0.8928863570044961,580,0.7521443017028367,26,0.6491277271144525,52,0.5639903807967326,79,0.6311611310443944,31,0.9703119651244057,258,0.937577309907473,191,0.8844854577293034,8,0.8485080321770416,48,0.9505750914391338,16
5986250.0,1753750.0,1,0.9999999999635192,272,0.8996283473093143,129,0.7592224587431342,4,0.6624959679078045,10,0.5407149323843643,159,0.6548621985880019,4,0.9710098163767256,235,0.9567542112271953,63,0.8758695978375657,9,0.8633154386244222,35,0.9847918401600918,2
5986150.0,1753750.0,1,0.9999999999759888,247,0.9009463870492225,104,0.7590228068889497,5,0.6611887195969792,11,0.5268531814730174,227,0.6497395292292069,7,0.9758394903993332,109,0.9642814315893062,34,0.875416716967911,10,0.8487136438936707,47,0.986393070080254,1
