feature,importance,weight,source
Guneylilik,6.365411992713057,0.10694917683448125,critic
Toplam_Yagis,5.482853234037958,0.0921207677925501,critic
Ruzgar,5.172503146972252,0.08690638632279075,critic
Toplam_Buharlasma,4.433368857416176,0.0744877394341596,critic
Toprak_Nem,4.267915326916295,0.07170785355849627,critic
Biyokutle,4.122778586201259,0.06926932248373126,critic
Toprak_Kil,3.779524574535282,0.06350210206895919,critic
Yukselti,3.2776132719249795,0.05506918355252313,critic
Nem,3.1707719361238995,0.05327407697828996,critic
NDVI,2.744983967121223,0.04612015310926277,critic
Sicaklik,2.4963408206361617,0.041942547657713894,critic
NDMI,2.4473547861320055,0.041119503356323424,critic
Yerlesim_Uzaklik,2.1100093598969485,0.03545155669615146,critic
Egim,2.1033922431869048,0.0353403784745427,critic
NDWI,1.8351957509886954,0.030834245312489753,critic
Elektrik_Hatti_Var,1.6566831268924693,0.0278349456248167,critic
Yol_Uzaklik,1.6150975322911318,0.02713624063669073,critic
Yagis,1.3848744913896192,0.023268122635698076,critic
BitkiRiskSkoru,1.0514287801513726,0.017665697470328867,critic
