feature,importance,weight,source
Biyokutle,0.04843863032367224,0.20457903670657482,entropy
Yukselti,0.03309589160053683,0.1397794606771561,entropy
Guneylilik,0.03212383410382691,0.13567400631208637,entropy
Egim,0.028501847909946032,0.1203766611650965,entropy
Ruzgar,0.013982562784438768,0.059054915591445274,entropy
BitkiRiskSkoru,0.01315727525334598,0.05556933957518045,entropy
NDVI,0.012085705217798615,0.05104359712187298,entropy
Toprak_Kil,0.010498911878370376,0.04434182519596466,entropy
Toplam_Yagis,0.009756731831254473,0.04120725103300346,entropy
Toprak_Nem,0.00889847443482239,0.037582427824025134,entropy
Toplam_Buharlasma,0.008863513399693712,0.03743477098812583,entropy
NDMI,0.0056500905035102855,0.02386298012122383,entropy
Nem,0.004966873191848742,0.020977433223076568,entropy
Sicaklik,0.0026998744917190454,0.01140283527948157,entropy
NDWI,0.0018255956791198846,0.007710346121564674,entropy
Yerlesim_Uzaklik,0.0008487141836578393,0.003584517748989162,entropy
Elektrik_Hatti_Var,0.0006215964149920428,0.002625292972769832,entropy
Yol_Uzaklik,0.0005061073209979838,0.0021375284046649167,entropy
Yagis,0.0002499779268531066,0.0010557739376978758,entropy
