feature,importance,weight,source
Biyokutle,1.0,0.05263157894736842,equal
NDVI,1.0,0.05263157894736842,equal
NDWI,1.0,0.05263157894736842,equal
NDMI,1.0,0.05263157894736842,equal
Yukselti,1.0,0.05263157894736842,equal
Egim,1.0,0.05263157894736842,equal
Yerlesim_Uzaklik,1.0,0.05263157894736842,equal
Yol_Uzaklik,1.0,0.05263157894736842,equal
Toprak_Kil,1.0,0.05263157894736842,equal
Toprak_Nem,1.0,0.05263157894736842,equal
Toplam_Yagis,1.0,0.05263157894736842,equal
Toplam_Buharlasma,1.0,0.05263157894736842,equal
Elektrik_Hatti_Var,1.0,0.05263157894736842,equal
Sicaklik,1.0,0.05263157894736842,equal
Nem,1.0,0.05263157894736842,equal
Ruzgar,1.0,0.05263157894736842,equal
Yagis,1.0,0.05263157894736842,equal
Guneylilik,1.0,0.05263157894736842,equal
BitkiRiskSkoru,1.0,0.05263157894736842,equal
