feature,importance,weight,source
Sicaklik,0.5307752145383825,0.5981367462041121,pi
Ruzgar,0.14479003935205145,0.16316557489618555,pi
Nem,0.11139282313465941,0.1255298645363501,pi
Yagis,0.017786103454632274,0.02004336630009341,pi
BitkiRiskSkoru,0.010260527591591387,0.011562707564085364,pi
Yukselti,0.009625147194682179,0.010846690024457636,pi
Toprak_Kil,0.008240927831773104,0.009286797167585568,pi
Toplam_Buharlasma,0.008168317912160217,0.009204972206905807,pi
Egim,0.006694572032044081,0.007544190879294218,pi
Toprak_Nem,0.0065411458739008665,0.007371293161954134,pi
Yerlesim_Uzaklik,0.006517810496541802,0.007344996254520099,pi
NDVI,0.005629654305762455,0.006344122740605516,pi
Toplam_Yagis,0.005393078110836187,0.006077522282282279,pi
NDMI,0.00487190687543911,0.005490208371577726,pi
Biyokutle,0.003234357124583568,0.0036448345619209494,pi
Guneylilik,0.0031305564799849472,0.003527860411445393,pi
Yol_Uzaklik,0.0029777446111668806,0.003355654943871514,pi
NDWI,0.0013511241634962534,0.00152259749275267,pi
Elektrik_Hatti_Var,0.0,0.0,pi
