feature,importance,weight,source
Sicaklik,0.07439849804050963,0.3110086923971332,shap
Ruzgar,0.039422837667420156,0.16479963327825273,shap
Nem,0.02752179592500551,0.11504960434007816,shap
Yagis,0.01701025909017735,0.07110813492621776,shap
BitkiRiskSkoru,0.010693619745684089,0.04470263219946302,shap
Yukselti,0.009786274602742076,0.04090964935852404,shap
Biyokutle,0.007497419203321207,0.031341527103254836,shap
NDVI,0.006919806905359007,0.02892692935957576,shap
Toplam_Buharlasma,0.0068890648321548705,0.02879841800194607,shap
Toplam_Yagis,0.006878604295938989,0.028754689730865885,shap
Toprak_Kil,0.005103715111299083,0.021335104940805923,shap
Toprak_Nem,0.004911200676954631,0.020530335166281166,shap
Yerlesim_Uzaklik,0.004707007631652076,0.019676745192172312,shap
NDWI,0.003979114618265487,0.016633927658744302,shap
NDMI,0.003948170329481083,0.016504570977554898,shap
Egim,0.003538427516052656,0.014791719509046614,shap
Guneylilik,0.003194363661975515,0.013353426369050899,shap
Yol_Uzaklik,0.0027757907098032103,0.011603662194281753,shap
Elektrik_Hatti_Var,4.080973605658076e-05,0.00017059729675078235,shap
